English,Marathi
Take care.,काळजी घ्या.
Take mine.,माझं घे.
Take mine.,माझा घे.
Take mine.,माझी घे.
Take mine.,माझं घ्या.
Take mine.,माझी घ्या.
Take mine.,माझा घ्या.
Take this.,हे घे.
Take this.,हे घ्या.
Take this.,हा घे.
Take this.,हा घ्या.
Take this.,ही घे.
Take this.,ही घ्या.
Thank you.,धन्यवाद.
That's it.,बरोब्बर.
That's it.,तेच.
They fell.,ते पडले.
They fell.,त्या पडल्या.
They left.,ते निघाले.
They left.,त्या निघाल्या.
They lied.,ते खोटं बोलले.
They lied.,त्या खोटं बोलल्या.
They lost.,ते हरले.
They lost.,त्या हरल्या.
Tom cried.,टॉम रडला.
Tom drank.,टॉम प्यायला.
Tom knits.,टॉम विणतो.
Tom knows.,टॉमला माहिती आहे.
Tom moved.,टॉम हलला.
Tom tried.,टॉमने प्रयत्न केला.
Tom tried.,टॉमने करून बघितलं.
Tom tries.,टॉम प्रयत्न करतो.
Tom voted.,टॉमने मत दिलं.
Tom voted.,टॉमने मतदान केलं.
Tom walks.,टॉम चालतो.
Tom works.,टॉम काम करतो.
Try again.,पुन्हा प्रयत्न कर.
Try again.,पुन्हा प्रयत्न करा.
Try it on.,घालून बघ.
Try it on.,घालून बघा.
Wait here.,इथे थांब.
Wait here.,इथे थांबा.
Watch Tom.,टॉमला बघ.
Watch Tom.,टॉमला बघा.
We saw it.,आम्ही बघितलं.
We saw it.,आम्ही पाहिलं.
We saw it.,आपण बघितलं.
We saw it.,आपण पाहिलं.
We saw it.,आम्ही ते बघितलं.
We saw it.,आपण ते बघितलं.
We talked.,आम्ही बोललो.
We waited.,आम्ही थांबलो.
We waited.,आपण थांबलो.
We waited.,आम्ही वाट बघितली.
We waited.,आपण वाट बघितली.
We're shy.,आम्ही लाजाळू आहोत.
We're shy.,आपण लाजाळू आहोत.
Well done!,शाब्बास!
What's up?,काय चाललंय?
What's up?,वर काय आहे?
What's up?,कसं काय?
Who is he?,तो कोण आहे?
Who is he?,ते कोण आहेत?
Who is it?,कोण आहे?
Who knows?,कोणास ठाऊक?
Who knows?,कोणाला माहीत आहे?
Who'll go?,कोण जाईल?
Who's Tom?,टॉम कोण आहे?
Who's she?,ती कोण आहे?
Who's she?,त्या कोण आहेत?
Who's she?,ती कोण?
Who's she?,त्या कोण?
You drive.,तू चालव.
You drive.,तुम्ही चालवा.
You idiot!,मूर्खा!
You tried.,तू प्रयत्न केलास.
You tried.,तुम्ही प्रयत्न केलात.
Are you OK?,ठीक आहेस का?
Are you OK?,बरा आहेस का?
Are you OK?,बरी आहेस का?
Ask anyone.,कोणालाही विचार.
Be careful!,सावध रहा!
Be on time.,वेळेवर पोहोच.
Be on time.,वेळेवर पोहोचा.
Birds sing.,पक्षी गातात.
Bring wine.,वाईन आण.
Bring wine.,वाईन आणा.
Come again.,पुन्हा या.
Come again.,पुन्हा ये.
Come on in.,आत ये.
Definitely!,नक्कीच!
Do men cry?,माणसं रडतात का?
Do men cry?,पुरुष रडतात का?
Don't look.,बघू नकोस.
Don't look.,बघू नका.
Don't move.,हलू नकोस.
Don't move.,हलू नका.
Don't talk!,बोलू नकोस!
Don't talk!,बोलू नका!
Don't talk.,बोलू नका.
Don't talk.,बोलू नकोस.
Fill it up.,भरून टाक.
Fire burns.,आग जळते.
Fire burns.,आग जाळते.
Forget Tom.,टॉमला विसर.
Forget Tom.,टॉमला विसरा.
Forget Tom.,टॉमला विसरून जा.
Forget him.,त्याला विसर.
Forget him.,त्याला विसरून जा.
Forget him.,त्यांना विसर.
Forget him.,त्यांना विसरून जा.
He is here!,तो इथे आहे!
He is here!,इथे आहे!
He is here!,इथे आहे तो!
He is late.,त्याला उशीर झाला आहे.
He is nice.,तो चांगला आहे.
He is nice.,ते चांगले आहेत.
He laughed.,तो हसला.
He laughed.,ते हसले.
He's Swiss.,तो स्विस आहे.
He's smart.,तो हुशार आहे.
He's smart.,ते हुशार आहेत.
Hold still.,हलू नकोस.
Hold still.,हलू नका.
I am a man.,मी माणुस आहे.
I am a man.,मी पुरुष आहे.
I am ready.,मी तयार आहे.
I can read.,मला वाचता येतं.
I can read.,मी वाचू शकतो.
I can read.,मी वाचू शकते.
I can swim.,मला पोहता येतं.
I can swim.,मी पोहू शकतो.
I can swim.,मी पोहू शकते.
I can walk.,मी चालू शकतो.
I can walk.,मी चालू शकते.
I eat here.,मी इथे खातो.
I eat here.,मी इथे जेवतो.
I eat meat.,मी मांस खातो.
I eat meat.,मी मांस खाते.
I eat rice.,मी भात खातो.
I eat rice.,मी भात खाते.
I like him.,मला तो आवडतो.
I like him.,मला ते आवडतात.
I like tea.,मला चहा आवडतो.
I like you.,मला तू आवडतोस.
I like you.,मला तू आवडतेस.
I like you.,मला तुम्ही आवडता.
I love you.,माझं तुझ्यावर प्रेम आहे.
I love you.,माझं तुमच्यावर प्रेम आहे.
I made tea.,मी चहा बनवला.
I miss you.,मला तुझी आठवण येते.
I miss you.,मला तुमची आठवण येते.
I ran away.,मी पळून गेलो.
I ran away.,मी पळून गेले.
I remember.,मला आठवतं.
I remember.,मला आठवतो.
I remember.,मला आठवते.
I screamed.,मी किंचाळलो.
I screamed.,मी किंचाळले.
I see that.,ते मला दिसतंय.
I see them.,मला ते दिसतात.
I see them.,मला त्या दिसतात.
I see them.,मी त्यांना बघतो.
I see them.,मी त्यांना बघते.
I see them.,मी त्यांना पाहतो.
I see them.,मी त्यांना पाहते.
I shot Tom.,मी टॉमला गोळी मारली.
I want Tom.,मला टॉम हवाय.
I want Tom.,मला टॉम हवे आहेत.
I want you.,मला तुम्ही हवे आहात.
I want you.,मला तू हवा आहेस.
I want you.,मला तू हवी आहेस.
I was late.,मला उशीर झाला होता.
I was sick.,मी आजारी होतो.
I was sick.,मी आजारी होते.
I work out.,मी व्यायाम करतो.
I work out.,मी व्यायाम करते.
I'll leave.,मी निघेन.
I'll start.,मी सुरुवात करेन.
I'll start.,मी सुरुवात करतो.
I'll start.,मी सुरुवात करते.
I'm 30 now.,मी आता ३० वर्षांचा आहे.
I'm 30 now.,मी आता ३० वर्षांची आहे.
I'm a liar.,मी खोटारडा आहे.
I'm a liar.,मी खोटारडी आहे.
I'm a poet.,मी कवी आहे.
I'm coming.,मी येतोय.
I'm coming.,मी येतेय.
I'm hungry!,मला भूक लागली आहे!
I'm hungry.,मला भूक लागली आहे.
I'm scared.,मी घाबरलोय.
I'm scared.,मी घाबरले आहे.
I'm sleepy!,मला झोप आली आहे!
I'm so fat.,मी किती जाडा आहे.
I'm so fat.,मी किती जाडी आहे.
I'm trying.,मी प्रयत्न करतोय.
I'm trying.,मी प्रयत्न करतेय.
Is Tom big?,टॉम मोठा आहे का?
Is he tall?,तो उंच आहे का?
Is he tall?,ते उंच आहेत का?
Is it done?,झालंय का?
Is it free?,फुकटात आहे का?
Is it free?,मुक्त आहे का?
Is it hard?,कठीण आहे का?
Is it here?,इथे आहे का?
Is it time?,वेळ झाला आहे का?
Is it true?,खरं आहे का?
Is that so?,असं का?
It's alive.,जिवंत आहे.
It's my CD.,माझी सीडी आहे.
It's my CD.,ती माझी सीडी आहे.
It's night.,रात्र आहे.
It's ready.,तयार आहे.
It's white.,सफेद आहे.
It's white.,पांढरं आहे.
It's white.,पांढरा आहे.
It's white.,पांढरी आहे.
It's yours.,तुझंय.
It's yours.,तुझं आहे.
It's yours.,तुमचं आहे.
It's yours.,आपलंच आहे.
Jesus wept.,येशू रडला.
Let Tom go.,टॉमला सोड.
Let Tom go.,टॉमला सोडा.
Let Tom go.,टॉमला जाऊ दे.
Let Tom go.,टॉमला जाऊ द्या.
Let Tom in.,टॉमला आत येऊ दे.
Let Tom in.,टॉमला आत येऊ द्या.
Let him go!,सोडा त्याला!
Let him go!,सोडा त्यांना!
Let me see.,मला बघू दे.
Let me see.,मला बघू द्या.
Let's chat.,गप्पा मारू या.
Let's kiss.,किस करू या.
Let's talk.,बोलू या.
Look again.,परत बघ.
Look again.,परत बघा.
Look ahead.,पुढे बघ.
Look ahead.,समोर बघ.
Look ahead.,समोर बघा.
Look at me.,माझ्याकडे बघ.
Look at me.,माझ्याकडे बघा.
Look there.,तिथे बघ.
Look there.,तिथे बघा.
Love lasts.,प्रेम टिकतं.
No one ran.,कोणीही धावलं नाही.
Quiet down.,शांत हो.
Quiet down.,शांत व्हा.
She is old.,ती म्हातारी आहे.
She is old.,ती वयस्कर आहे.
Smell this.,याचा वास घे.
Smell this.,याचा वास घ्या.
Stand back!,पाठी हो!
Stand back!,पाठी व्हा!
Start here.,इथून सुरुवात कर.
Start here.,इथून सुरू कर.
Start here.,इथून सुरूवात करा.
Start here.,इथून सुरू करा.
Start here.,इथे सुरू कर.
Start here.,इथे सुरू करा.
Stay alert.,जागृत रहा.
Stay alert.,जागृत रहावे.
Stay still.,स्थिर रहा.
Step aside.,बाजूला व्हा!
Step aside.,बाजूला हो!
Study hard.,मेहनतीने अभ्यास कर.
Study hard.,मेहनतीने अभ्यास करा.
Take a bus.,बस पकड.
Take a bus.,बस पकडा.
Take a bus.,एखादी बस पकड.
Take these.,हे घे.
Take these.,हे घ्या.
Take these.,ह्या घे.
Take these.,ह्या घ्या.
Talk to me.,बोल माझ्याशी.
Talk to us.,आमच्याबरोबर बोल.
That a boy!,शाब्बास!
That's Tom.,तो टॉम आहे.
That's Tom.,तो टॉम.
That's wet.,ते ओलं आहे.
They stood.,त्या उभ्या राहिल्या.
They stood.,ते उभे राहिले.
They tried.,त्यांनी प्रयत्न केला.
This is me.,हा मी.
This is me.,ही मी.
Time is up.,वेळ समाप्त.
Time is up.,वेळ संपली.
Tom bit me.,टॉमने मला चावलं.
Tom burped.,टॉमने ढेकर दिला.
Tom called.,टॉमने फोन केला.
Tom called.,टॉमने बोलवले.
Tom danced.,टॉम नाचला.
Tom drinks.,टॉम पितो.
Tom failed.,टॉम अपयशी ठरला.
Tom failed.,टॉम फेल झाला.
Tom forgot.,टॉम विसरला.
Tom fought.,टॉम लढला.
Tom helped.,टॉमने मदत केली.
Tom is fat.,टॉम जाडा आहे.
Tom is ill.,टॉम आजारी आहे.
Tom is out.,टॉम बाहेर आहे.
Tom is out.,टॉम आउट झाला आहे.
Tom jumped.,टॉमने उडी मारली.
Tom looked.,टॉमने बघितलं.
Tom moaned.,टॉम कण्हला.
Tom phoned.,टॉमने फोन केला.
Tom saw me.,टॉमने मला पाहिलं.
Tom saw me.,टॉमने मला बघितलं.
Tom shaved.,टॉमने दाढी केली.
Tom snores.,टॉम घोरतो.
Tom talked.,टॉम बोलला.
Tom waited.,टॉम थांबला.
Tom waited.,टॉमने वाट पाहिली.
Tom yawned.,टॉमने आळस दिली.
Tom yelled.,टॉम ओरडला.
Tom'll die.,टॉम मरेल.
Tom's deaf.,टॉम बहिरा आहे.
Tom's sick.,टॉम आजारी आहे.
Tom's ugly.,टॉम कुरूप आहे.
Watch this.,हे बघ.
Watch this.,हे बघा.
We are men.,आम्ही माणसं आहोत.
We are men.,आपण माणसं आहोत.
We laughed.,आम्ही हसलो.
We laughed.,आपण हसलो.
We like it.,आम्हाला आवडतं.
We like it.,आम्हाला आवडते.
We like it.,आम्हाला आवडतो.
We like it.,आपल्याला आवडतं.
We like it.,आपल्याला आवडतो.
We like it.,आपल्याला आवडती.
We want it.,आम्हाला ते हवं आहे.
We want it.,आम्हाला हवं आहे.
We want it.,आपल्याला ते हवं आहे.
We'll help.,आम्ही मदत करू.
We'll help.,आपण मदत करू.
We'll sing.,आम्ही गाऊ.
We'll sing.,आपण गाऊ.
We'll wait.,आम्ही थांबू.
We'll wait.,आपण थांबू.
We'll work.,आम्ही काम करू.
We're boys.,आम्ही मुलं आहोत.
We're boys.,आपण मुलं आहोत.
We're fine.,आम्ही बरे आहोत.
We're fine.,आपण बरे आहोत.
We're fine.,आम्ही बर्‍या आहोत.
We're fine.,आपण बर्‍या आहोत.
Where am I?,मी कुठे आहे?
Who are we?,आपण कोण आहोत?
Who are we?,आम्ही कोण आहोत?
Who did it?,कोणी केलं?
Who has it?,कोणाकडे आहे?
Who has it?,ते कोणाकडे आहे?
Who is Tom?,टॉम कोण आहे?
Who is she?,ती कोण आहे?
Who is she?,त्या कोण आहेत?
Who phoned?,कोणी फोन केला?
Who talked?,कोण बोललं?
Who was it?,कोण होतं?
Who yelled?,कोण ओरडलं?
Who's here?,कोण आहे इथे?
Who's that?,ती कोण आहे?
Who's that?,तो कोण?
Who's that?,ते कोण?
Who's that?,ती कोण?
Who's that?,तो कोण आहे?
Who's that?,ते कोण आहेत?
Wood burns.,लाकुड जळतं.
You decide.,तुम्हीच ठरवा.
You decide.,तूच ठरव.
You decide.,तुम्ही ठरवा.
You decide.,तू ठरव.
You may go.,तुम्ही जाऊ शकता.
You may go.,तू जाऊ शकतोस.
You may go.,तुम्ही निघू शकता.
You may go.,तू जाऊ शकतेस.
You've won.,तू जिंकला आहेस.
You've won.,तू जिंकली आहेस.
You've won.,तुम्ही जिंकला आहात.
Anyone home?,घरी कोणी आहे का?
Anyone hurt?,कोणाला लागलं का?
Are we done?,झालंय का?
Are you Tom?,तू टॉम आहेस का?
Are you Tom?,तुम्ही टॉम आहात का?
Are you Tom?,तू टॉम का?
Are you Tom?,तुम्ही टॉम का?
Are you new?,नवीन आहेस का?
Are you new?,तू नवीन आहेस का?
Are you new?,तुम्ही नवीन आहात का?
Be prepared.,तयार राहा!
Come inside.,आत ये.
Come inside.,आत या.
Did Tom die?,टॉम मेला का?
Did Tom die?,टॉम वारला का?
Did Tom eat?,टॉमने खाल्लं का?
Did Tom win?,टॉम जिंकला का?
Don't argue.,भांडू नकोस.
Don't argue.,भांडू नका.
Don't argue.,भांडू नये.
Don't argue.,भांडण करू नका.
Don't argue.,भांडण करू नकोस.
Don't fight.,लढू नका.
Don't fight.,लढू नकोस.
Don't fight.,मारामारी करू नका.
Don't leave.,सोडू नकोस.
Don't leave.,सोडून जाऊ नकोस.
Don't leave.,सोडू नका.
Don't leave.,सोडून नका जाऊ.
Don't shout.,ओरडू नकोस.
Don't shout.,ओरडू नका.
Eat with us.,आमच्याबरोबर खा.
Forgive Tom.,टॉमला माफ कर.
Forgive Tom.,टॉमला माफ करा.
Get changed.,कपडे बदल.
Get changed.,कपडे बदला.
Get started.,सुरू करा.
Get started.,सुरू कर.
Get started.,सुरुवात करा.
Get started.,सुरुवात कर.
Go have fun.,"जा, मजा कर."
Go have fun.,जाऊन मजा कर.
Go help Tom.,जाऊन टॉमची मदत कर.
Have a seat.,बस.
Have a seat.,बसा.
He can come.,तो येऊ शकतो.
He can come.,ते येऊ शकतात.
He can read.,त्याला वाचता येतं.
He can read.,तो वाचू शकतो.
He found it.,त्याला सापडलं.
He found it.,त्यांना सापडलं.
He has wine.,त्याच्याकडे वाईन आहे.
He is happy.,तो खूश आहे.
He is happy.,ते खूश आहेत.
He is lying.,तो खोटं बोलतोय.
He is lying.,ते खोटं बोलताहेत.
He is young.,तो तरुण आहे.
He resigned.,त्याने राजीनामा दिला.
He resigned.,त्यांनी राजीनामा दिला.
He stood up.,तो उभा झाला.
He stood up.,तो उभा राहिला.
He stood up.,ते उभे झाले.
He stood up.,ते उभे राहिले.
How are you?,कसा आहेस?
How are you?,कशी आहेस?
How are you?,तुम्ही कसे आहात?
How are you?,तुम्ही कश्या आहात?
How are you?,तू कसा आहेस?
How are you?,तू कशी आहेस?
How strange!,किती विचित्र!
I am taller.,मी जास्त उंच आहे.
I came back.,मी परत आलो.
I came back.,मी परत आले.
I can dance.,मी नाचू शकतो.
I can dance.,मी नाचू शकते.
I can dance.,मला नाचता येतं.
I can do it.,मी करू शकतो.
I can do it.,मी करू शकते.
I can't fly.,मला उडता येत नाही.
I can't say.,सांगता येत नाही.
I can't say.,मला सांगता येत नाही.
I can't say.,मी सांगू शकत नाही.
I don't cry.,मी रडत नाही.
I don't eat.,मी खात नाही.
I drank tea.,मी चहा प्यायलो.
I drank tea.,मी चहा प्यायले.
I eat bread.,मी ब्रेड खातो.
I eat bread.,मी पाव खाते.
I eat bread.,मी ब्रेड खाते.
I eat bread.,मी पाव खातो.
I eat fruit.,मी फळं खातो.
I eat fruit.,मी फळं खाते.
I exercised.,मी व्यायाम केला.
I feel fine.,मला बरं वाटतंय.
I felt that.,मला जाणवलं ते.
I forgot it.,मी ते विसरलो.
I forgot it.,मी ते विसरले.
